datetime,ch
01/01/2018,0.28
02/01/2018,0
03/01/2018,0.14
04/01/2018,0.2
05/01/2018,0.17
06/01/2018,0
07/01/2018,0
08/01/2018,0
09/01/2018,0
10/01/2018,0
11/01/2018,0
12/01/2018,0
13/01/2018,3.56
14/01/2018,5.83
15/01/2018,13.56
16/01/2018,0.14
17/01/2018,0
18/01/2018,28.03
19/01/2018,1.2
20/01/2018,4.94
21/01/2018,0.27
22/01/2018,2.98
23/01/2018,2.35
24/01/2018,10.22
25/01/2018,0.13
26/01/2018,2.83
27/01/2018,1.04
28/01/2018,1.34
29/01/2018,0.77
30/01/2018,2.5
31/01/2018,0.2
01/02/2018,1.59
02/02/2018,6.04
03/02/2018,10.35
04/02/2018,17.6
05/02/2018,23.73
06/02/2018,7.76
07/02/2018,1.13
08/02/2018,4.16
09/02/2018,3.1
10/02/2018,0
11/02/2018,6.17
12/02/2018,1.72
13/02/2018,0
14/02/2018,1.23
15/02/2018,74.19
16/02/2018,0
17/02/2018,0.09
18/02/2018,0.23
19/02/2018,1.33
20/02/2018,0.44
21/02/2018,0
22/02/2018,0
23/02/2018,0
24/02/2018,1.11
25/02/2018,1.21
26/02/2018,23.41
27/02/2018,0.68
28/02/2018,1.32
01/03/2018,0.3
02/03/2018,0.18
03/03/2018,3.04
04/03/2018,0.27
05/03/2018,0.16
06/03/2018,1.84
07/03/2018,3.61
08/03/2018,0.2
09/03/2018,6.4
10/03/2018,0.55
11/03/2018,8.93
12/03/2018,0.19
13/03/2018,0
14/03/2018,0.1
15/03/2018,0.18
16/03/2018,0
17/03/2018,20.76
18/03/2018,13.67
19/03/2018,0.64
20/03/2018,0.58
21/03/2018,0
22/03/2018,4.85
23/03/2018,0.17
24/03/2018,0
25/03/2018,4.15
26/03/2018,0.18
27/03/2018,8.46
28/03/2018,0.18
29/03/2018,5.89
30/03/2018,0
31/03/2018,0
01/04/2018,0
02/04/2018,1.24
03/04/2018,7.73
04/04/2018,0
05/04/2018,0.05
06/04/2018,0.17
07/04/2018,2.42
08/04/2018,2.13
09/04/2018,0
10/04/2018,0
11/04/2018,0
12/04/2018,0
13/04/2018,0
14/04/2018,0.18
15/04/2018,0
16/04/2018,0
17/04/2018,6.74
18/04/2018,0
19/04/2018,1.72
20/04/2018,0
21/04/2018,0
22/04/2018,3.68
23/04/2018,11.08
24/04/2018,0.93
25/04/2018,12.71
26/04/2018,1.69
27/04/2018,0.28
28/04/2018,9.63
29/04/2018,0
30/04/2018,0
01/05/2018,0
02/05/2018,0
03/05/2018,3.45
04/05/2018,0
05/05/2018,0
06/05/2018,0
07/05/2018,0
08/05/2018,0
09/05/2018,0
10/05/2018,0
11/05/2018,0
12/05/2018,0
13/05/2018,0
14/05/2018,0.25
15/05/2018,0
16/05/2018,0
17/05/2018,0
18/05/2018,0
19/05/2018,0
20/05/2018,0
21/05/2018,0
22/05/2018,0.19
23/05/2018,2.55
24/05/2018,0.02
25/05/2018,0.69
26/05/2018,0
27/05/2018,0
28/05/2018,0
29/05/2018,0
30/05/2018,0
31/05/2018,0
01/06/2018,0
02/06/2018,0
03/06/2018,0
04/06/2018,0
05/06/2018,0
06/06/2018,0
07/06/2018,0
08/06/2018,0
09/06/2018,0
10/06/2018,0
11/06/2018,0
12/06/2018,0.44
13/06/2018,0
14/06/2018,0
15/06/2018,0
16/06/2018,0
17/06/2018,0
18/06/2018,0
19/06/2018,0
20/06/2018,0
21/06/2018,0
22/06/2018,0
23/06/2018,0
24/06/2018,0.15
25/06/2018,4.87
26/06/2018,0.71
27/06/2018,0
28/06/2018,0
29/06/2018,0
30/06/2018,0
01/07/2018,0
02/07/2018,0
03/07/2018,0
04/07/2018,0
05/07/2018,0
06/07/2018,0
07/07/2018,0
08/07/2018,0
09/07/2018,0
10/07/2018,0
11/07/2018,0
12/07/2018,0
13/07/2018,0
14/07/2018,0
15/07/2018,0
16/07/2018,0
17/07/2018,0
18/07/2018,0
19/07/2018,0
20/07/2018,0
21/07/2018,0
22/07/2018,0
23/07/2018,0
24/07/2018,0
25/07/2018,4.74
26/07/2018,0.04
27/07/2018,0
28/07/2018,0
29/07/2018,0
30/07/2018,0.75
31/07/2018,2.83
01/08/2018,0.33
02/08/2018,0
03/08/2018,0
04/08/2018,0.3
05/08/2018,0.14
06/08/2018,0
07/08/2018,0
08/08/2018,0.08
09/08/2018,0
10/08/2018,12.92
11/08/2018,0
12/08/2018,0.31
13/08/2018,0
14/08/2018,0
15/08/2018,0
16/08/2018,0
17/08/2018,0
18/08/2018,0
19/08/2018,0
20/08/2018,0
21/08/2018,0
22/08/2018,0
23/08/2018,0
24/08/2018,0
25/08/2018,0
26/08/2018,0
27/08/2018,0
28/08/2018,0
29/08/2018,0
30/08/2018,0
31/08/2018,0.34
01/09/2018,0
02/09/2018,7.84
03/09/2018,0
04/09/2018,0
05/09/2018,0
06/09/2018,0
07/09/2018,0
08/09/2018,0
09/09/2018,0
10/09/2018,0
11/09/2018,0
12/09/2018,0
13/09/2018,0
14/09/2018,0
15/09/2018,0
16/09/2018,0
17/09/2018,0
18/09/2018,0
19/09/2018,0
20/09/2018,0
21/09/2018,32.05
22/09/2018,0
23/09/2018,0
24/09/2018,0
25/09/2018,0
26/09/2018,0
27/09/2018,0
28/09/2018,0
29/09/2018,0
30/09/2018,0
01/10/2018,0
02/10/2018,0
03/10/2018,0
04/10/2018,0
05/10/2018,0
06/10/2018,0
07/10/2018,0
08/10/2018,0
09/10/2018,0
10/10/2018,0
11/10/2018,0
12/10/2018,0
13/10/2018,0
14/10/2018,0
15/10/2018,0
16/10/2018,0
17/10/2018,0
18/10/2018,6.72
19/10/2018,0
20/10/2018,0
21/10/2018,0
22/10/2018,7.83
23/10/2018,0.49
24/10/2018,0
25/10/2018,0
26/10/2018,0.38
27/10/2018,1.03
28/10/2018,33.14
29/10/2018,4.7
30/10/2018,0
31/10/2018,0
01/11/2018,5.7
02/11/2018,0
03/11/2018,0
04/11/2018,0
05/11/2018,0
06/11/2018,0
07/11/2018,0
08/11/2018,0.27
09/11/2018,7.47
10/11/2018,0
11/11/2018,0
12/11/2018,0.38
13/11/2018,2.98
14/11/2018,0.01
15/11/2018,4.59
16/11/2018,0
17/11/2018,0
18/11/2018,0
19/11/2018,0
20/11/2018,0
21/11/2018,0
22/11/2018,26.04
23/11/2018,6.29
24/11/2018,0
25/11/2018,0
26/11/2018,5.51
27/11/2018,10.32
28/11/2018,0
29/11/2018,3.62
30/11/2018,0.14
01/12/2018,0.01
02/12/2018,0
03/12/2018,6.95
04/12/2018,1.18
05/12/2018,0.19
06/12/2018,1.84
07/12/2018,0
08/12/2018,0
09/12/2018,0
10/12/2018,0
11/12/2018,0
12/12/2018,0.34
13/12/2018,0.18
14/12/2018,1.39
15/12/2018,0.17
16/12/2018,0
17/12/2018,0
18/12/2018,11.59
19/12/2018,0
20/12/2018,0
21/12/2018,0
22/12/2018,0
23/12/2018,0
24/12/2018,0.06
25/12/2018,0.89
26/12/2018,0.68
27/12/2018,0
28/12/2018,0
29/12/2018,0
30/12/2018,0
31/12/2018,3.83
01/01/2019,1.42
02/01/2019,0.13
03/01/2019,0.17
04/01/2019,0
05/01/2019,0
06/01/2019,0
07/01/2019,2.56
08/01/2019,1.31
09/01/2019,26.74
10/01/2019,1.55
11/01/2019,3.12
12/01/2019,0.72
13/01/2019,1.86
14/01/2019,0.7
15/01/2019,0.49
16/01/2019,0.98
17/01/2019,0
18/01/2019,6.84
19/01/2019,1.09
20/01/2019,0.64
21/01/2019,1.62
22/01/2019,15.36
23/01/2019,2.91
24/01/2019,11.41
25/01/2019,35
26/01/2019,1.24
27/01/2019,7.35
28/01/2019,5.31
29/01/2019,14.21
30/01/2019,1.09
31/01/2019,4.24
01/02/2019,2.1
02/02/2019,68.09
03/02/2019,12.76
04/02/2019,4.67
05/02/2019,156.8
06/02/2019,102.01
07/02/2019,108.17
08/02/2019,68.83
09/02/2019,3.01
10/02/2019,18.35
11/02/2019,112.87
12/02/2019,2.88
13/02/2019,0
14/02/2019,0
15/02/2019,0
16/02/2019,0
17/02/2019,0
18/02/2019,0
19/02/2019,10.8
20/02/2019,13.7
21/02/2019,5.32
22/02/2019,5.3
23/02/2019,1.61
24/02/2019,0.54
25/02/2019,0
26/02/2019,0
27/02/2019,0.17
28/02/2019,0.81
01/03/2019,0.57
02/03/2019,0.37
03/03/2019,12.39
04/03/2019,19.61
05/03/2019,38.6
06/03/2019,23.85
07/03/2019,0.95
08/03/2019,1.74
09/03/2019,5.85
10/03/2019,0
11/03/2019,0.18
12/03/2019,3.26
13/03/2019,6.45
14/03/2019,7.12
15/03/2019,0.02
16/03/2019,0.06
17/03/2019,4.69
18/03/2019,3.58
19/03/2019,0.66
20/03/2019,0
21/03/2019,0
22/03/2019,0.97
23/03/2019,0.58
24/03/2019,0.12
25/03/2019,0.39
26/03/2019,2.58
27/03/2019,10.55
28/03/2019,4.35
29/03/2019,0.34
30/03/2019,1.56
31/03/2019,0
01/04/2019,5.65
02/04/2019,6.6
03/04/2019,4.42
04/04/2019,1.49
05/04/2019,0.05
06/04/2019,1.07
07/04/2019,23.53
08/04/2019,13.5
09/04/2019,0.84
10/04/2019,0
11/04/2019,0.04
12/04/2019,0.12
13/04/2019,0.22
14/04/2019,0.18
15/04/2019,2.97
16/04/2019,2.02
17/04/2019,0.18
18/04/2019,1.77
19/04/2019,9.1
20/04/2019,4.05
21/04/2019,8.33
22/04/2019,2.99
23/04/2019,0
24/04/2019,11.31
25/04/2019,7.8
26/04/2019,3.92
27/04/2019,0.36
28/04/2019,0.51
29/04/2019,3.72
30/04/2019,14.74
01/05/2019,5.54
02/05/2019,0
03/05/2019,0
04/05/2019,1.56
05/05/2019,1.49
06/05/2019,0
07/05/2019,0
08/05/2019,0
09/05/2019,3.23
10/05/2019,2.51
11/05/2019,0.9
12/05/2019,0
13/05/2019,0
14/05/2019,0
15/05/2019,0
16/05/2019,0.33
17/05/2019,0.41
18/05/2019,0.52
19/05/2019,0
20/05/2019,0
21/05/2019,0
22/05/2019,0
23/05/2019,0
24/05/2019,0
25/05/2019,0
26/05/2019,0
27/05/2019,0
28/05/2019,0
29/05/2019,0
30/05/2019,0
31/05/2019,0
01/06/2019,0
02/06/2019,0
03/06/2019,0
04/06/2019,0
05/06/2019,0
06/06/2019,0.5
07/06/2019,0
08/06/2019,0
09/06/2019,15.78
10/06/2019,0.84
11/06/2019,0
12/06/2019,0
13/06/2019,0
14/06/2019,0
15/06/2019,0
16/06/2019,0.03
17/06/2019,10.38
18/06/2019,35.69
19/06/2019,0
20/06/2019,0
21/06/2019,0.36
22/06/2019,0.41
23/06/2019,1.41
24/06/2019,10.19
25/06/2019,0.14
26/06/2019,5.73
27/06/2019,0
28/06/2019,0
29/06/2019,2.08
30/06/2019,0.1
01/07/2019,1.8
02/07/2019,0
03/07/2019,0
04/07/2019,0
05/07/2019,0.06
06/07/2019,0.28
07/07/2019,0.01
08/07/2019,0
09/07/2019,0
10/07/2019,0
11/07/2019,0.4
12/07/2019,0
13/07/2019,0
14/07/2019,0
15/07/2019,0
16/07/2019,31.48
17/07/2019,9.11
18/07/2019,0.14
19/07/2019,3.88
20/07/2019,16.07
21/07/2019,0.88
22/07/2019,7
23/07/2019,0
24/07/2019,1.82
25/07/2019,0.09
26/07/2019,0
27/07/2019,0
28/07/2019,0
29/07/2019,0
30/07/2019,0
31/07/2019,0
01/08/2019,2.47
02/08/2019,0.61
03/08/2019,0.14
04/08/2019,0
05/08/2019,0
06/08/2019,0
07/08/2019,1.67
08/08/2019,9
09/08/2019,1.37
10/08/2019,1.2
11/08/2019,2.97
12/08/2019,0
13/08/2019,5.58
14/08/2019,0.96
15/08/2019,0
16/08/2019,0
17/08/2019,0
18/08/2019,0
19/08/2019,6.58
20/08/2019,0
21/08/2019,0
22/08/2019,0.57
23/08/2019,2.46
24/08/2019,0.98
25/08/2019,0
26/08/2019,0.13
27/08/2019,1.01
28/08/2019,0.28
29/08/2019,5.21
30/08/2019,28.24
31/08/2019,0
01/09/2019,0.04
02/09/2019,1.8
03/09/2019,0
04/09/2019,2.19
05/09/2019,1.84
06/09/2019,0.3
07/09/2019,6.23
08/09/2019,0
09/09/2019,0
10/09/2019,0
11/09/2019,0
12/09/2019,0
13/09/2019,0
14/09/2019,0.84
15/09/2019,1.03
16/09/2019,0
17/09/2019,1.8
18/09/2019,0
19/09/2019,5.44
20/09/2019,0
21/09/2019,2.01
22/09/2019,0
23/09/2019,22.62
24/09/2019,0.19
25/09/2019,4.28
26/09/2019,0.14
27/09/2019,0
28/09/2019,1.63
29/09/2019,4.69
30/09/2019,1.52
01/10/2019,0.28
02/10/2019,0
03/10/2019,0.01
04/10/2019,2.95
05/10/2019,0.1
06/10/2019,0.78
07/10/2019,0
08/10/2019,1.28
09/10/2019,1.28
10/10/2019,4.83
11/10/2019,3.87
12/10/2019,0.2
13/10/2019,0.74
14/10/2019,0
15/10/2019,6.32
16/10/2019,0
17/10/2019,0
18/10/2019,0
19/10/2019,0
20/10/2019,0
21/10/2019,8.2
22/10/2019,6.99
23/10/2019,15.57
24/10/2019,1.44
25/10/2019,5.89
26/10/2019,1.53
27/10/2019,1.83
28/10/2019,3.83
29/10/2019,0.55
30/10/2019,0
31/10/2019,0
01/11/2019,2.34
02/11/2019,1
03/11/2019,0.78
04/11/2019,0.58
05/11/2019,0.41
06/11/2019,0
07/11/2019,0
08/11/2019,0.19
09/11/2019,0.69
10/11/2019,0.62
11/11/2019,0.68
12/11/2019,2.21
13/11/2019,13.87
14/11/2019,16.62
15/11/2019,0.94
