datetime,pressure
01/01/2018,1005.65
02/01/2018,1005.89
03/01/2018,1006.61
04/01/2018,1007.16
05/01/2018,966.14
06/01/2018,1000.64
07/01/2018,1001.43
08/01/2018,1001.61
09/01/2018,999.44
10/01/2018,999.2
11/01/2018,998.31
12/01/2018,1000.86
13/01/2018,990.91
14/01/2018,991.21
15/01/2018,990.12
16/01/2018,989.84
17/01/2018,999.82
18/01/2018,997.13
19/01/2018,1007.62
20/01/2018,999.62
21/01/2018,991.78
22/01/2018,984.94
23/01/2018,995.11
24/01/2018,1005.44
25/01/2018,998.41
26/01/2018,998.69
27/01/2018,999.27
28/01/2018,996.48
29/01/2018,1000.35
30/01/2018,1007.56
31/01/2018,1001.03
01/02/2018,998.19
02/02/2018,998.12
03/02/2018,1002.59
04/02/2018,995.79
05/02/2018,1011.22
06/02/2018,1003.66
07/02/2018,1009.6
08/02/2018,1009.3
09/02/2018,1009.39
10/02/2018,1002.5
11/02/2018,1010.3
12/02/2018,1011.92
13/02/2018,1012.1
14/02/2018,1011.71
15/02/2018,1011.74
16/02/2018,1009.01
17/02/2018,1008.83
18/02/2018,1008.76
19/02/2018,1008.23
20/02/2018,1000.62
21/02/2018,1006.95
22/02/2018,1006.28
23/02/2018,1001.2
24/02/2018,1010.02
25/02/2018,1008.52
26/02/2018,1009.01
27/02/2018,1008.01
28/02/2018,1008.01
01/03/2018,1008.16
02/03/2018,1006.84
03/03/2018,1007.26
04/03/2018,1000.6
05/03/2018,994.46
06/03/2018,1001.26
07/03/2018,1007.83
08/03/2018,1007.95
09/03/2018,1007.56
10/03/2018,1008.26
11/03/2018,1008.66
12/03/2018,1008.67
13/03/2018,1009.7
14/03/2018,1002.45
15/03/2018,1001.98
16/03/2018,1008.4
17/03/2018,1009.25
18/03/2018,1002.48
19/03/2018,1009.08
20/03/2018,1000.29
21/03/2018,1006.98
22/03/2018,1007.27
23/03/2018,1007.84
24/03/2018,1010.26
25/03/2018,1010.26
26/03/2018,1009.61
27/03/2018,1009.69
28/03/2018,1008.93
29/03/2018,1008
30/03/2018,997.28
31/03/2018,1007.71
01/04/2018,1007.8
02/04/2018,995.14
03/04/2018,1002.26
04/04/2018,1007.65
05/04/2018,1006.76
06/04/2018,1007.75
07/04/2018,1008.91
08/04/2018,1010.53
09/04/2018,999.15
10/04/2018,1008.45
11/04/2018,1000.59
12/04/2018,1008.32
13/04/2018,1007.51
14/04/2018,993.08
15/04/2018,1007.5
16/04/2018,1008.89
17/04/2018,999.14
18/04/2018,1008.79
19/04/2018,1007.77
20/04/2018,1008.34
21/04/2018,1001.27
22/04/2018,1007.42
23/04/2018,1001.31
24/04/2018,1008.39
25/04/2018,1008.63
26/04/2018,1008.51
27/04/2018,1003.28
28/04/2018,992.65
29/04/2018,1002.15
30/04/2018,995.45
01/05/2018,1003.21
02/05/2018,1003.43
03/05/2018,1003.55
04/05/2018,1003.7
05/05/2018,1003.03
06/05/2018,1003.05
07/05/2018,1002.87
08/05/2018,999.22
09/05/2018,1009.96
10/05/2018,1002.83
11/05/2018,998.82
12/05/2018,1009.06
13/05/2018,1008.52
14/05/2018,993.92
15/05/2018,976.08
16/05/2018,993.34
17/05/2018,996.93
18/05/2018,999.75
19/05/2018,989.69
20/05/2018,986.94
21/05/2018,987.14
22/05/2018,1007.45
23/05/2018,1001.6
24/05/2018,1000.81
25/05/2018,1007.85
26/05/2018,1001.03
27/05/2018,1008.8
28/05/2018,1008.84
29/05/2018,1008.58
30/05/2018,1009.05
31/05/2018,1009.95
01/06/2018,1009.07
02/06/2018,1009.17
03/06/2018,1008.54
04/06/2018,1001.81
05/06/2018,1009.6
06/06/2018,1009.9
07/06/2018,1002.35
08/06/2018,1009.27
09/06/2018,1010.19
10/06/2018,1011.14
11/06/2018,1004.18
12/06/2018,1010.29
13/06/2018,1009.48
14/06/2018,1009.86
15/06/2018,1010.33
16/06/2018,1009.72
17/06/2018,1002.25
18/06/2018,1009.77
19/06/2018,1010.77
20/06/2018,993.11
21/06/2018,1010.54
22/06/2018,1009.98
23/06/2018,1009.49
24/06/2018,1003.09
25/06/2018,1010.73
26/06/2018,1010.95
27/06/2018,1009.7
28/06/2018,1009.57
29/06/2018,1009.15
30/06/2018,1009.32
01/07/2018,1010.23
02/07/2018,1010.31
03/07/2018,1010.07
04/07/2018,996.37
05/07/2018,1010.61
06/07/2018,1009.42
07/07/2018,1008.31
08/07/2018,1007.19
09/07/2018,1007.8
10/07/2018,1009.95
11/07/2018,1002.79
12/07/2018,1009.5
13/07/2018,1009.1
14/07/2018,1009.25
15/07/2018,1009.55
16/07/2018,1008.65
17/07/2018,1008.67
18/07/2018,1008.98
19/07/2018,1009.43
20/07/2018,1003.13
21/07/2018,1011.06
22/07/2018,1003.63
23/07/2018,1009.47
24/07/2018,1010.14
25/07/2018,1010.17
26/07/2018,1010.35
27/07/2018,1010.21
28/07/2018,1009.71
29/07/2018,1009.92
30/07/2018,1010.17
31/07/2018,1010.8
01/08/2018,1012.4
02/08/2018,1011.9
03/08/2018,1010.55
04/08/2018,996.87
05/08/2018,1010.69
06/08/2018,1002.78
07/08/2018,1002.13
08/08/2018,925.47
09/08/2018,1010.9
10/08/2018,1003.98
11/08/2018,989.11
12/08/2018,1003.29
13/08/2018,1003.74
14/08/2018,1010.4
15/08/2018,1002.53
16/08/2018,1008.86
17/08/2018,998.36
18/08/2018,995.47
19/08/2018,995.74
20/08/2018,1002.78
21/08/2018,1002.51
22/08/2018,884.88
23/08/2018,851.74
24/08/2018,995.75
25/08/2018,995.16
26/08/2018,1002.37
27/08/2018,996.34
28/08/2018,1003.55
29/08/2018,1003.61
30/08/2018,1003.16
31/08/2018,1004.01
01/09/2018,1004.6
02/09/2018,1004.38
03/09/2018,1003.89
04/09/2018,1011.13
05/09/2018,1010.41
06/09/2018,999.13
07/09/2018,1009.81
08/09/2018,1009.64
09/09/2018,997.71
10/09/2018,1012.21
11/09/2018,1012.16
12/09/2018,1003.51
13/09/2018,985.51
14/09/2018,1010.1
15/09/2018,1009.24
16/09/2018,1009.14
17/09/2018,1009.09
18/09/2018,1002.72
19/09/2018,1010.01
20/09/2018,1010.26
21/09/2018,1012.04
22/09/2018,1011.76
23/09/2018,1011.59
24/09/2018,1010.72
25/09/2018,1010.3
26/09/2018,1003.16
27/09/2018,1002.47
28/09/2018,1009.1
29/09/2018,1009.05
30/09/2018,1009.05
01/10/2018,1002.47
02/10/2018,1002.63
03/10/2018,1009.71
04/10/2018,1002.29
05/10/2018,1009.6
06/10/2018,1010.12
07/10/2018,1009.53
08/10/2018,1009.11
09/10/2018,1008.81
10/10/2018,1008.86
11/10/2018,1002.96
12/10/2018,1010.83
13/10/2018,996.91
14/10/2018,1011.28
15/10/2018,1004.27
16/10/2018,1010.68
17/10/2018,1009.86
18/10/2018,1010.42
19/10/2018,1010.9
20/10/2018,1004.31
21/10/2018,1011.07
22/10/2018,1010.76
23/10/2018,1011.02
24/10/2018,1003.8
25/10/2018,1004.04
26/10/2018,1011.04
27/10/2018,1010.69
28/10/2018,1009.18
29/10/2018,1001.46
30/10/2018,1008.33
31/10/2018,1007.96
01/11/2018,1008.24
02/11/2018,1009.51
03/11/2018,1009.59
04/11/2018,1008.64
05/11/2018,997.45
06/11/2018,1007.6
07/11/2018,1007.77
08/11/2018,1007.83
09/11/2018,1008.25
10/11/2018,1008.5
11/11/2018,1008.91
12/11/2018,1008.15
13/11/2018,1007.9
14/11/2018,1009.1
15/11/2018,1009.69
16/11/2018,1009.02
17/11/2018,1009.54
18/11/2018,1010.56
19/11/2018,1010.83
20/11/2018,1003.24
21/11/2018,1002.87
22/11/2018,996.24
23/11/2018,1003.45
24/11/2018,1003.9
25/11/2018,1010.47
26/11/2018,1003.82
27/11/2018,1003.55
28/11/2018,1003.69
29/11/2018,1003.67
30/11/2018,889.03
01/12/2018,850.46
02/12/2018,980.05
03/12/2018,1001.63
04/12/2018,1001.4
05/12/2018,1000.48
06/12/2018,1000.01
07/12/2018,1000.7
08/12/2018,1001.42
09/12/2018,1001.04
10/12/2018,994.34
11/12/2018,987.63
12/12/2018,1001.91
13/12/2018,1008.97
14/12/2018,1002.79
15/12/2018,992.81
16/12/2018,990.81
17/12/2018,502.32
18/12/2018,839.43
19/12/2018,1003.21
20/12/2018,995.46
21/12/2018,1002.49
22/12/2018,1009.46
23/12/2018,1002.43
24/12/2018,994.51
25/12/2018,995.07
26/12/2018,1002.15
27/12/2018,1001.51
28/12/2018,987.31
29/12/2018,1001.64
30/12/2018,1002.26
31/12/2018,1009.94
01/01/2019,1010.55
02/01/2019,1010.11
03/01/2019,1010.56
04/01/2019,1010.72
05/01/2019,1010.83
06/01/2019,1010.47
07/01/2019,1010.34
08/01/2019,1009.97
09/01/2019,1003.14
10/01/2019,1009.8
11/01/2019,1009.27
12/01/2019,1001.92
13/01/2019,1001.64
14/01/2019,1008.54
15/01/2019,1007.97
16/01/2019,1007.98
17/01/2019,1007.4
18/01/2019,1000.33
19/01/2019,994.39
20/01/2019,1008.79
21/01/2019,1009.64
22/01/2019,1010.47
23/01/2019,1010.5
24/01/2019,1010.43
25/01/2019,1011
26/01/2019,1009.69
27/01/2019,1009.36
28/01/2019,1009.59
29/01/2019,1003.11
30/01/2019,1010.91
31/01/2019,954.68
01/02/2019,1003.65
02/02/2019,1003.21
03/02/2019,1010.89
04/02/2019,1011.18
05/02/2019,1010.53
06/02/2019,1009.97
07/02/2019,1010.2
08/02/2019,1010.31
09/02/2019,1010.44
10/02/2019,1005.17
11/02/2019,1011.87
12/02/2019,130.23
13/02/2019,0
14/02/2019,0
15/02/2019,0
16/02/2019,0
17/02/2019,0
18/02/2019,0
19/02/2019,691.66
20/02/2019,1004.97
21/02/2019,1004.34
22/02/2019,1003.56
23/02/2019,1002.02
24/02/2019,991.87
25/02/2019,1002.35
26/02/2019,1000.82
27/02/2019,1000.67
28/02/2019,994.3
01/03/2019,1008.89
02/03/2019,1001.26
03/03/2019,1008.22
04/03/2019,1008.05
05/03/2019,1009.45
06/03/2019,1011.43
07/03/2019,1003.52
08/03/2019,1010.42
09/03/2019,1010.92
10/03/2019,1010.29
11/03/2019,1003.33
12/03/2019,1011.16
13/03/2019,1011.67
14/03/2019,1004.25
15/03/2019,1010.32
16/03/2019,1010.61
17/03/2019,1010.61
18/03/2019,1008.86
19/03/2019,1008.53
20/03/2019,1008.31
21/03/2019,1009.27
22/03/2019,1009.12
23/03/2019,1008.43
24/03/2019,1008.34
25/03/2019,1009.52
26/03/2019,1003.88
27/03/2019,1011.09
28/03/2019,1010.16
29/03/2019,988.26
30/03/2019,1009.45
31/03/2019,1010.5
01/04/2019,1010.52
02/04/2019,1010.21
03/04/2019,1010.22
04/04/2019,1009.94
05/04/2019,1010.51
06/04/2019,1009.92
07/04/2019,1008.59
08/04/2019,1001.23
09/04/2019,1008.77
10/04/2019,1007.92
11/04/2019,1001.24
12/04/2019,1009.04
13/04/2019,1002.63
14/04/2019,1002.31
15/04/2019,1009.33
16/04/2019,1009.65
17/04/2019,1009.28
18/04/2019,1008.51
19/04/2019,1008.34
20/04/2019,1007.49
21/04/2019,1006.51
22/04/2019,1006.32
23/04/2019,1007.42
24/04/2019,1008.66
25/04/2019,1007.46
26/04/2019,1007.7
27/04/2019,1008.24
28/04/2019,1008.79
29/04/2019,1008.72
30/04/2019,1008.56
01/05/2019,1002.19
02/05/2019,1002.91
03/05/2019,1003.49
04/05/2019,1010.44
05/05/2019,1010.19
06/05/2019,995.34
07/05/2019,1008.58
08/05/2019,1001.54
09/05/2019,1001.75
10/05/2019,1003.1
11/05/2019,1010.22
12/05/2019,995.79
13/05/2019,995.18
14/05/2019,995.36
15/05/2019,1003.07
16/05/2019,1003.35
17/05/2019,1002.89
18/05/2019,1003.03
19/05/2019,1003.08
20/05/2019,1003.05
21/05/2019,1003.84
22/05/2019,949.69
23/05/2019,786.85
24/05/2019,622.52
25/05/2019,458.19
26/05/2019,293.86
27/05/2019,129.53
28/05/2019,6.82
29/05/2019,105.2
30/05/2019,411.02
31/05/2019,721.72
01/06/2019,981.36
02/06/2019,1009.63
03/06/2019,1009.9
04/06/2019,1003.28
05/06/2019,1003.49
06/06/2019,1011.02
07/06/2019,1010.68
08/06/2019,1010.34
09/06/2019,1010.54
10/06/2019,1011.14
11/06/2019,1011.15
12/06/2019,1010.23
13/06/2019,1002.74
14/06/2019,1002.29
15/06/2019,1009.09
16/06/2019,1000.74
17/06/2019,994.35
18/06/2019,1002.66
19/06/2019,1001.88
20/06/2019,1001.58
21/06/2019,1001.65
22/06/2019,1002.56
23/06/2019,1001.93
24/06/2019,998.79
25/06/2019,1003.2
26/06/2019,995.9
27/06/2019,1001.71
28/06/2019,998.5
29/06/2019,1002.86
30/06/2019,1002.91
01/07/2019,1010.37
02/07/2019,1010.34
03/07/2019,1009.02
04/07/2019,1008.84
05/07/2019,1001.88
06/07/2019,1001.63
07/07/2019,1009.33
08/07/2019,1002.27
09/07/2019,1009.17
10/07/2019,1009.21
11/07/2019,1009.21
12/07/2019,1008.97
13/07/2019,1001.7
14/07/2019,1001.19
15/07/2019,1001.72
16/07/2019,1002.87
17/07/2019,1003.09
18/07/2019,994.38
19/07/2019,1001.38
20/07/2019,1009.08
21/07/2019,994.98
22/07/2019,1009.86
23/07/2019,1009.01
24/07/2019,1009.04
25/07/2019,1009.41
26/07/2019,1009.08
27/07/2019,1009.01
28/07/2019,1009.23
29/07/2019,1001.75
30/07/2019,988.28
31/07/2019,1009.1
01/08/2019,1008.56
02/08/2019,1007.73
03/08/2019,998.18
04/08/2019,1009.46
05/08/2019,1002.89
06/08/2019,1009.46
07/08/2019,1009.68
08/08/2019,799.41
09/08/2019,1010.11
10/08/2019,1009.95
11/08/2019,1010.65
12/08/2019,1009.87
13/08/2019,1009.39
14/08/2019,1002.82
15/08/2019,1008.93
16/08/2019,1009.66
17/08/2019,1008.55
18/08/2019,1008.05
19/08/2019,1007.96
20/08/2019,1001.16
21/08/2019,1008.51
22/08/2019,1007.85
23/08/2019,1006.93
24/08/2019,993.53
25/08/2019,1008.56
26/08/2019,1009.24
27/08/2019,1010.15
28/08/2019,1009.88
29/08/2019,1002.54
30/08/2019,1010.15
31/08/2019,1010.76
01/09/2019,1009.79
02/09/2019,1009.17
03/09/2019,1009.26
04/09/2019,1010.28
05/09/2019,1010.77
06/09/2019,1010.96
07/09/2019,1010.8
08/09/2019,1011.19
09/09/2019,1010.72
10/09/2019,1002.01
11/09/2019,1009.09
12/09/2019,1009.7
13/09/2019,1002.56
14/09/2019,1009.47
15/09/2019,1009.16
16/09/2019,1008.39
17/09/2019,1001.72
18/09/2019,1008.74
19/09/2019,1007.86
20/09/2019,1007.55
21/09/2019,1009.37
22/09/2019,1009.2
23/09/2019,1007.98
24/09/2019,993.68
25/09/2019,1008.07
26/09/2019,1008.39
27/09/2019,1008.59
28/09/2019,1008.18
29/09/2019,1000.95
30/09/2019,1008.4
01/10/2019,1008.66
02/10/2019,1009.67
03/10/2019,1008.16
04/10/2019,1008.14
05/10/2019,1008.4
06/10/2019,1009.38
07/10/2019,1009.82
08/10/2019,1010.62
09/10/2019,1009.08
10/10/2019,1009.03
11/10/2019,1008.22
12/10/2019,1007.89
13/10/2019,1000.82
14/10/2019,1001.2
15/10/2019,1008.4
16/10/2019,1008.27
17/10/2019,1000.94
18/10/2019,1007.46
19/10/2019,1007
20/10/2019,993.58
21/10/2019,1008.34
