datetime,solrad
01/01/2018,178.81
02/01/2018,158.58
03/01/2018,147.44
04/01/2018,168.28
05/01/2018,116.2
06/01/2018,133.19
07/01/2018,69.04
08/01/2018,127.1
09/01/2018,141.6
10/01/2018,175.98
11/01/2018,124.86
12/01/2018,127.1
13/01/2018,148.35
14/01/2018,101.11
15/01/2018,68.08
16/01/2018,137.21
17/01/2018,90.72
18/01/2018,24.71
19/01/2018,93.65
20/01/2018,99.62
21/01/2018,131.29
22/01/2018,85.59
23/01/2018,184.81
24/01/2018,96.36
25/01/2018,93.87
26/01/2018,127.32
27/01/2018,103.01
28/01/2018,93.45
29/01/2018,267.25
30/01/2018,80.38
31/01/2018,144.59
01/02/2018,116.71
02/02/2018,162.99
03/02/2018,129.5
04/02/2018,119.71
05/02/2018,68.24
06/02/2018,97.8
07/02/2018,68.2
08/02/2018,100.96
09/02/2018,131.02
10/02/2018,169
11/02/2018,122.07
12/02/2018,140.12
13/02/2018,83.96
14/02/2018,26.69
15/02/2018,22.11
16/02/2018,145.44
17/02/2018,100.36
18/02/2018,169.17
19/02/2018,88.89
20/02/2018,137.34
21/02/2018,190.64
22/02/2018,148.63
23/02/2018,165.56
24/02/2018,207.45
25/02/2018,251.84
26/02/2018,9.41
27/02/2018,127.41
28/02/2018,89.21
01/03/2018,133.35
02/03/2018,206.42
03/03/2018,108.48
04/03/2018,163.64
05/03/2018,143
06/03/2018,107.01
07/03/2018,132.71
08/03/2018,133.68
09/03/2018,164.98
10/03/2018,156.55
11/03/2018,173.89
12/03/2018,103.13
13/03/2018,102.31
14/03/2018,166.4
15/03/2018,179.22
16/03/2018,153.4
17/03/2018,59.5
18/03/2018,198.72
19/03/2018,188.33
20/03/2018,166.74
21/03/2018,101.06
22/03/2018,127.57
23/03/2018,157.2
24/03/2018,105.49
25/03/2018,106.2
26/03/2018,151.3
27/03/2018,78.69
28/03/2018,183.28
29/03/2018,191.06
30/03/2018,192.39
31/03/2018,172.89
01/04/2018,124.55
02/04/2018,124
03/04/2018,145.11
04/04/2018,180.96
05/04/2018,152.6
06/04/2018,147.31
07/04/2018,162.98
08/04/2018,2.24
09/04/2018,131.48
10/04/2018,165.12
11/04/2018,166.15
12/04/2018,151.26
13/04/2018,184.85
14/04/2018,138.44
15/04/2018,122.89
16/04/2018,143.58
17/04/2018,111.26
18/04/2018,110.19
19/04/2018,100.87
20/04/2018,138.12
21/04/2018,134.33
22/04/2018,145.96
23/04/2018,43.88
24/04/2018,50.42
25/04/2018,31.26
26/04/2018,79.43
27/04/2018,128.32
28/04/2018,157.76
29/04/2018,152.38
