datetime,temp
01/01/2018,29.58
02/01/2018,29.33
03/01/2018,28.88
04/01/2018,29.56
05/01/2018,27.23
06/01/2018,29
07/01/2018,28.56
08/01/2018,28.94
09/01/2018,27.89
10/01/2018,28.2
11/01/2018,27.9
12/01/2018,28.96
13/01/2018,27.19
14/01/2018,25.49
15/01/2018,25.47
16/01/2018,27.43
17/01/2018,27.67
18/01/2018,25.3
19/01/2018,26.38
20/01/2018,26.52
21/01/2018,27.83
22/01/2018,25.96
23/01/2018,27.89
24/01/2018,27.25
25/01/2018,27.27
26/01/2018,27.49
27/01/2018,27.05
28/01/2018,25.81
29/01/2018,29.62
30/01/2018,27.89
31/01/2018,28
01/02/2018,27.69
02/02/2018,28.24
03/02/2018,27.27
04/02/2018,27.13
05/02/2018,25.59
06/02/2018,25.97
07/02/2018,27.02
08/02/2018,26.47
09/02/2018,26.88
10/02/2018,27.92
11/02/2018,27.56
12/02/2018,27.96
13/02/2018,27.64
14/02/2018,25.97
15/02/2018,25.06
16/02/2018,28.21
17/02/2018,27.57
18/02/2018,28.1
19/02/2018,27.87
20/02/2018,28.18
21/02/2018,29.49
22/02/2018,28.67
23/02/2018,27.66
24/02/2018,28.08
25/02/2018,28.3
26/02/2018,25.58
27/02/2018,27.88
28/02/2018,27.65
01/03/2018,27.25
02/03/2018,29.24
03/03/2018,28.3
04/03/2018,28.5
05/03/2018,28.25
06/03/2018,27.45
07/03/2018,27.95
08/03/2018,27.84
09/03/2018,28.33
10/03/2018,28.46
11/03/2018,28.09
12/03/2018,27.66
13/03/2018,27.95
14/03/2018,27.89
15/03/2018,29.28
16/03/2018,28.82
17/03/2018,25.57
18/03/2018,27.63
19/03/2018,27.95
20/03/2018,28.07
21/03/2018,27.28
22/03/2018,27.12
23/03/2018,28.47
24/03/2018,27.19
25/03/2018,27.7
26/03/2018,28.87
27/03/2018,26.5
28/03/2018,28.65
29/03/2018,28.42
30/03/2018,29.32
31/03/2018,30
01/04/2018,29.42
02/04/2018,27.88
03/04/2018,28.04
04/04/2018,29.16
05/04/2018,29.23
06/04/2018,29.78
07/04/2018,29.09
08/04/2018,26.43
09/04/2018,28.15
10/04/2018,30.02
11/04/2018,29.95
12/04/2018,29.96
13/04/2018,30.29
14/04/2018,29.37
15/04/2018,29.47
16/04/2018,29.96
17/04/2018,28.22
18/04/2018,29.23
19/04/2018,28.95
20/04/2018,29.18
21/04/2018,29.27
22/04/2018,29.08
23/04/2018,26.18
24/04/2018,27.4
25/04/2018,25.64
26/04/2018,27.03
27/04/2018,28.73
28/04/2018,28.69
29/04/2018,29.05
30/04/2018,29.42
01/05/2018,29.47
02/05/2018,29.45
03/05/2018,28.16
04/05/2018,29.15
05/05/2018,33.32
06/05/2018,30.51
07/05/2018,30.12
08/05/2018,29.86
09/05/2018,30.32
10/05/2018,29.78
11/05/2018,29.5
12/05/2018,30
13/05/2018,30.3
14/05/2018,29.87
15/05/2018,28.62
16/05/2018,29.25
17/05/2018,28.64
18/05/2018,29.41
19/05/2018,27.96
20/05/2018,28.34
21/05/2018,28.7
22/05/2018,29.79
23/05/2018,27.87
24/05/2018,29.14
25/05/2018,27.87
26/05/2018,29.67
27/05/2018,29.48
28/05/2018,29.39
29/05/2018,29.54
30/05/2018,29.72
31/05/2018,26.8
01/06/2018,29.66
02/06/2018,29.33
03/06/2018,29.42
04/06/2018,29.26
05/06/2018,29.66
06/06/2018,29.57
07/06/2018,29.23
08/06/2018,29.32
09/06/2018,29.82
10/06/2018,29.76
11/06/2018,30.19
12/06/2018,28.3
13/06/2018,29.92
14/06/2018,32.05
15/06/2018,29.23
16/06/2018,29.65
17/06/2018,29.3
18/06/2018,29
19/06/2018,29.62
20/06/2018,29.22
21/06/2018,29.26
22/06/2018,29.18
23/06/2018,29.37
24/06/2018,27.3
25/06/2018,24.68
26/06/2018,26.29
27/06/2018,28.31
28/06/2018,27.68
29/06/2018,28.37
30/06/2018,28.4
01/07/2018,28.2
02/07/2018,28.58
03/07/2018,28.52
04/07/2018,28.41
05/07/2018,31.95
06/07/2018,32.25
07/07/2018,31.98
08/07/2018,31.71
09/07/2018,29.28
10/07/2018,28.98
11/07/2018,28.37
12/07/2018,28.04
13/07/2018,28.39
14/07/2018,28.45
15/07/2018,28.34
16/07/2018,27.88
17/07/2018,28.76
18/07/2018,29.02
19/07/2018,28.5
20/07/2018,29.1
21/07/2018,30.51
22/07/2018,29.41
23/07/2018,29.12
24/07/2018,28.97
25/07/2018,28.51
26/07/2018,28.4
27/07/2018,28.23
28/07/2018,27.61
29/07/2018,27.34
30/07/2018,28
31/07/2018,28.86
01/08/2018,28.37
02/08/2018,27.89
03/08/2018,27.63
04/08/2018,27.28
05/08/2018,27.67
06/08/2018,27.87
07/08/2018,27.47
08/08/2018,25.47
09/08/2018,29.05
10/08/2018,27.21
11/08/2018,27.81
12/08/2018,28.7
13/08/2018,29.01
14/08/2018,28.79
15/08/2018,28.82
16/08/2018,28.57
17/08/2018,27.74
18/08/2018,26.97
19/08/2018,27.96
20/08/2018,28.74
21/08/2018,28.77
22/08/2018,25.72
23/08/2018,23.9
24/08/2018,28.26
25/08/2018,28.16
26/08/2018,28.81
27/08/2018,28.81
28/08/2018,29.03
29/08/2018,28.44
30/08/2018,28.83
31/08/2018,28.97
01/09/2018,27.96
02/09/2018,27
03/09/2018,28.3
04/09/2018,28.27
05/09/2018,28.79
06/09/2018,29.19
07/09/2018,29.54
08/09/2018,28.96
09/09/2018,29.19
10/09/2018,29.96
11/09/2018,29.6
12/09/2018,28.72
13/09/2018,27.65
14/09/2018,28.56
15/09/2018,28.52
16/09/2018,28.8
17/09/2018,30.2
18/09/2018,30.38
19/09/2018,28.57
20/09/2018,29.37
21/09/2018,26.8
22/09/2018,28.95
23/09/2018,28.65
24/09/2018,29
25/09/2018,29.17
26/09/2018,29.04
27/09/2018,28.56
28/09/2018,29.36
29/09/2018,29.43
30/09/2018,29.7
01/10/2018,29.31
02/10/2018,29.28
03/10/2018,29.88
04/10/2018,29.72
05/10/2018,30.14
06/10/2018,29.92
07/10/2018,30.42
08/10/2018,30.15
09/10/2018,30.7
10/10/2018,29.8
