datetime,wd
01/01/2018,110.96
02/01/2018,9.52
03/01/2018,39
04/01/2018,183.99
05/01/2018,233.75
06/01/2018,272.41
07/01/2018,293.75
08/01/2018,302.26
09/01/2018,304.73
10/01/2018,293.61
11/01/2018,270.3
12/01/2018,302.45
13/01/2018,287.7
14/01/2018,272.57
15/01/2018,277.7
16/01/2018,283.11
17/01/2018,289
18/01/2018,236.47
19/01/2018,281.41
20/01/2018,276.55
21/01/2018,279.6
22/01/2018,267.52
23/01/2018,282.05
24/01/2018,275.31
25/01/2018,268.77
26/01/2018,278.39
27/01/2018,284.44
28/01/2018,287
29/01/2018,283.3
30/01/2018,263.89
31/01/2018,286.59
01/02/2018,292.64
02/02/2018,292.17
03/02/2018,281.62
04/02/2018,296.08
05/02/2018,184.46
06/02/2018,201.81
07/02/2018,280.72
08/02/2018,253.36
09/02/2018,287.87
10/02/2018,294.83
11/02/2018,298.18
12/02/2018,300.99
13/02/2018,300.08
14/02/2018,328.19
15/02/2018,260.56
16/02/2018,242.82
17/02/2018,299.98
18/02/2018,273.56
19/02/2018,271
20/02/2018,269.24
21/02/2018,301.39
22/02/2018,309.57
23/02/2018,272.89
24/02/2018,219.16
25/02/2018,166.78
26/02/2018,22.01
27/02/2018,193.56
28/02/2018,231.41
01/03/2018,212.79
02/03/2018,208.33
03/03/2018,136.59
04/03/2018,197.24
05/03/2018,287.04
06/03/2018,218.88
07/03/2018,171.92
08/03/2018,164.61
09/03/2018,275.72
10/03/2018,305.87
11/03/2018,298.79
12/03/2018,302.6
13/03/2018,301.59
14/03/2018,189.86
15/03/2018,154.52
16/03/2018,161.52
17/03/2018,109.68
18/03/2018,195.28
19/03/2018,200.99
20/03/2018,228.67
21/03/2018,280.41
22/03/2018,168.26
23/03/2018,202.74
24/03/2018,264.55
25/03/2018,176.15
26/03/2018,283.7
27/03/2018,122.5
28/03/2018,184.29
29/03/2018,207.81
30/03/2018,283.46
31/03/2018,287.37
01/04/2018,283.83
02/04/2018,245.13
03/04/2018,269.78
04/04/2018,189.04
05/04/2018,206.08
06/04/2018,103.11
07/04/2018,205.93
08/04/2018,163.03
09/04/2018,163.06
10/04/2018,67.68
11/04/2018,77.59
12/04/2018,79.56
13/04/2018,171.99
14/04/2018,138.11
15/04/2018,154.21
16/04/2018,207.68
17/04/2018,144.66
18/04/2018,141.22
19/04/2018,153.11
20/04/2018,129.76
21/04/2018,142.17
22/04/2018,215.89
23/04/2018,75.59
24/04/2018,113.65
25/04/2018,140.52
26/04/2018,108.07
27/04/2018,111.14
28/04/2018,108.53
29/04/2018,100.65
30/04/2018,82.96
01/05/2018,69.88
02/05/2018,117.87
03/05/2018,119.92
04/05/2018,81.53
05/05/2018,63.86
06/05/2018,73.82
07/05/2018,78.28
08/05/2018,110.18
09/05/2018,84.5
10/05/2018,77.29
11/05/2018,73.78
12/05/2018,152.44
13/05/2018,87.71
14/05/2018,85.72
15/05/2018,102.65
16/05/2018,142.38
17/05/2018,65.45
18/05/2018,172.41
19/05/2018,133.95
20/05/2018,111.26
21/05/2018,120.53
22/05/2018,86.3
23/05/2018,88.98
24/05/2018,96.69
25/05/2018,66.34
26/05/2018,82.61
27/05/2018,249.07
28/05/2018,197.85
29/05/2018,94.34
30/05/2018,220.69
31/05/2018,198.37
01/06/2018,210.7
02/06/2018,132.53
03/06/2018,113.2
04/06/2018,96.46
05/06/2018,97.15
06/06/2018,153.07
07/06/2018,181.66
08/06/2018,151.04
09/06/2018,169.05
10/06/2018,162.95
11/06/2018,112.61
12/06/2018,171.98
13/06/2018,125.43
14/06/2018,286.35
15/06/2018,184.46
16/06/2018,85.8
17/06/2018,89.29
18/06/2018,87.68
19/06/2018,96.67
20/06/2018,97.22
21/06/2018,74.77
22/06/2018,81.65
23/06/2018,109.6
24/06/2018,278.1
25/06/2018,152.51
26/06/2018,163.01
27/06/2018,123.7
28/06/2018,189.97
29/06/2018,287.66
30/06/2018,147.49
01/07/2018,108.41
02/07/2018,100.13
03/07/2018,176.96
04/07/2018,147.62
05/07/2018,122.81
06/07/2018,165.84
07/07/2018,219.38
08/07/2018,272.92
09/07/2018,169.56
10/07/2018,236.56
11/07/2018,142.02
12/07/2018,60.43
13/07/2018,202.38
14/07/2018,225.37
15/07/2018,200.69
16/07/2018,153.38
17/07/2018,145.39
18/07/2018,144.14
19/07/2018,126.39
20/07/2018,92.26
21/07/2018,113.26
22/07/2018,187.43
23/07/2018,261.5
24/07/2018,196.59
25/07/2018,178.9
26/07/2018,126.23
27/07/2018,68.66
28/07/2018,122.38
29/07/2018,214.62
30/07/2018,155.09
31/07/2018,168.79
01/08/2018,204.38
02/08/2018,175.63
03/08/2018,166.11
04/08/2018,151.62
05/08/2018,176.01
06/08/2018,165.05
07/08/2018,83.36
08/08/2018,94.97
09/08/2018,117.45
10/08/2018,150.34
11/08/2018,108.05
12/08/2018,110.97
13/08/2018,98.22
14/08/2018,84.76
15/08/2018,120.08
16/08/2018,151.84
17/08/2018,152.92
18/08/2018,123.62
19/08/2018,76.6
20/08/2018,70.93
21/08/2018,141.94
22/08/2018,120.71
23/08/2018,138.32
24/08/2018,92.4
25/08/2018,79.24
26/08/2018,87.79
27/08/2018,96.6
28/08/2018,188.82
29/08/2018,182.26
30/08/2018,88.44
31/08/2018,122.18
01/09/2018,150.49
02/09/2018,148.77
03/09/2018,188.4
04/09/2018,187.37
05/09/2018,211.37
06/09/2018,57.1
07/09/2018,123.61
08/09/2018,173.68
09/09/2018,85.87
10/09/2018,85.51
11/09/2018,109.87
12/09/2018,205.3
13/09/2018,221.17
14/09/2018,236.32
15/09/2018,164.39
16/09/2018,75.1
17/09/2018,91.43
18/09/2018,93.92
19/09/2018,70.52
20/09/2018,101.18
21/09/2018,174.04
22/09/2018,127.44
23/09/2018,154.4
24/09/2018,103.24
25/09/2018,236.41
26/09/2018,184.91
27/09/2018,157.33
28/09/2018,77.68
29/09/2018,109.43
30/09/2018,117.34
01/10/2018,154.05
02/10/2018,247.61
03/10/2018,151.94
04/10/2018,157.18
05/10/2018,103.04
06/10/2018,138.99
07/10/2018,76.45
08/10/2018,109.85
09/10/2018,143.73
10/10/2018,213.22
11/10/2018,118.05
12/10/2018,244.66
13/10/2018,195.74
14/10/2018,120.24
15/10/2018,192.28
16/10/2018,196.52
17/10/2018,250.85
18/10/2018,149.63
19/10/2018,192.51
20/10/2018,175.92
21/10/2018,91.07
22/10/2018,216.71
23/10/2018,158.11
24/10/2018,166.01
25/10/2018,158.86
26/10/2018,189.41
27/10/2018,182.47
28/10/2018,220.9
29/10/2018,167.23
30/10/2018,175.13
31/10/2018,172.86
01/11/2018,196.72
02/11/2018,67.23
03/11/2018,183.37
04/11/2018,213.58
05/11/2018,226.32
06/11/2018,148.71
07/11/2018,230.24
08/11/2018,162.71
09/11/2018,168.27
10/11/2018,130.44
11/11/2018,187.67
12/11/2018,247.49
13/11/2018,270.77
14/11/2018,271.44
15/11/2018,173.22
16/11/2018,181.91
17/11/2018,241.99
18/11/2018,169.7
19/11/2018,165.2
20/11/2018,183.31
21/11/2018,244.73
22/11/2018,137.58
23/11/2018,171.84
24/11/2018,150.96
25/11/2018,204.95
26/11/2018,87.52
27/11/2018,144.17
28/11/2018,91.29
29/11/2018,150.34
30/11/2018,227.85
01/12/2018,127.61
02/12/2018,182.87
03/12/2018,139.25
04/12/2018,186.87
05/12/2018,144.89
06/12/2018,144.96
07/12/2018,223.34
08/12/2018,258
09/12/2018,134
10/12/2018,201.64
11/12/2018,238.9
12/12/2018,265.46
13/12/2018,192.5
14/12/2018,278.97
15/12/2018,269.61
16/12/2018,240.34
17/12/2018,157.59
18/12/2018,124.61
19/12/2018,256.48
20/12/2018,279.94
21/12/2018,295.25
22/12/2018,297.71
23/12/2018,268.49
24/12/2018,274.42
25/12/2018,268.82
26/12/2018,277.71
27/12/2018,268.21
28/12/2018,269.65
29/12/2018,269.5
30/12/2018,273.66
31/12/2018,272.42
01/01/2019,275.38
02/01/2019,276.67
03/01/2019,274.15
04/01/2019,275.65
05/01/2019,211.72
06/01/2019,236.79
07/01/2019,208.81
08/01/2019,146.97
09/01/2019,233.17
10/01/2019,224.41
11/01/2019,290.54
12/01/2019,278.36
13/01/2019,193.58
14/01/2019,297.44
15/01/2019,290.46
16/01/2019,296.29
17/01/2019,272.98
18/01/2019,277.29
19/01/2019,179.8
20/01/2019,251.3
21/01/2019,275.86
22/01/2019,177.84
23/01/2019,276.57
24/01/2019,261.34
25/01/2019,236.28
26/01/2019,302.3
27/01/2019,196.29
28/01/2019,257.71
29/01/2019,237.34
30/01/2019,271.61
31/01/2019,162.77
01/02/2019,225.33
02/02/2019,303.71
03/02/2019,233.55
04/02/2019,282.03
05/02/2019,302.84
06/02/2019,192.58
07/02/2019,229.71
08/02/2019,210.99
09/02/2019,238.9
10/02/2019,254.58
11/02/2019,143.08
12/02/2019,31
13/02/2019,0
14/02/2019,0
15/02/2019,0
16/02/2019,0
17/02/2019,0
18/02/2019,0
19/02/2019,81.98
20/02/2019,151.92
21/02/2019,110.16
22/02/2019,171.74
23/02/2019,169.2
24/02/2019,195.41
25/02/2019,180.3
26/02/2019,61.99
27/02/2019,189.29
28/02/2019,186.75
01/03/2019,198.4
02/03/2019,231.81
03/03/2019,139.25
04/03/2019,193.15
05/03/2019,192.57
06/03/2019,122.3
07/03/2019,138.49
08/03/2019,196.5
09/03/2019,166.35
10/03/2019,202.64
11/03/2019,269.01
12/03/2019,197.8
13/03/2019,179.18
14/03/2019,179.28
15/03/2019,189.6
16/03/2019,287.61
17/03/2019,268.55
18/03/2019,286.31
19/03/2019,286.02
20/03/2019,276.31
21/03/2019,291.47
22/03/2019,290.61
23/03/2019,273.69
24/03/2019,272.21
25/03/2019,204.95
26/03/2019,206.28
27/03/2019,171.2
28/03/2019,155.07
29/03/2019,144.29
30/03/2019,179.36
31/03/2019,142.77
01/04/2019,204.86
02/04/2019,146.42
03/04/2019,142.69
04/04/2019,146.72
05/04/2019,154.44
06/04/2019,124.43
07/04/2019,139.2
08/04/2019,187.61
09/04/2019,161.14
10/04/2019,222.59
11/04/2019,234.57
12/04/2019,254.74
13/04/2019,214.21
14/04/2019,178.12
15/04/2019,142.92
16/04/2019,140.36
17/04/2019,115.64
18/04/2019,100.02
19/04/2019,111.8
20/04/2019,145.97
21/04/2019,75.13
22/04/2019,81.77
23/04/2019,128.23
24/04/2019,117.92
25/04/2019,99.3
26/04/2019,194.29
27/04/2019,165.83
28/04/2019,118.17
29/04/2019,142.43
30/04/2019,221.92
01/05/2019,261.44
02/05/2019,210.79
03/05/2019,135.64
04/05/2019,159.76
05/05/2019,170.04
06/05/2019,109.73
07/05/2019,198.1
08/05/2019,164.58
09/05/2019,230.88
10/05/2019,216.29
11/05/2019,70.98
12/05/2019,81.13
13/05/2019,65.95
14/05/2019,81.33
15/05/2019,143.5
16/05/2019,175.73
17/05/2019,156.45
18/05/2019,109.58
19/05/2019,140.66
20/05/2019,67.74
21/05/2019,78.64
22/05/2019,65.73
23/05/2019,52.53
24/05/2019,41.56
25/05/2019,30.59
26/05/2019,19.62
27/05/2019,8.65
28/05/2019,0.46
29/05/2019,2.36
30/05/2019,9.22
31/05/2019,16.19
01/06/2019,53.39
02/06/2019,233.94
03/06/2019,96.29
04/06/2019,54.13
05/06/2019,101.56
06/06/2019,75.79
07/06/2019,167.31
08/06/2019,230.55
09/06/2019,99.6
10/06/2019,66.03
11/06/2019,110.19
12/06/2019,49.03
13/06/2019,121.67
14/06/2019,176.88
15/06/2019,80.13
16/06/2019,87.38
17/06/2019,157.01
18/06/2019,230.56
19/06/2019,94.41
20/06/2019,169.66
21/06/2019,151
22/06/2019,153.17
23/06/2019,138.6
24/06/2019,144.16
25/06/2019,169.73
26/06/2019,170.72
27/06/2019,219.45
28/06/2019,127.36
29/06/2019,145.44
30/06/2019,109.97
01/07/2019,107.66
02/07/2019,41.33
03/07/2019,26.11
04/07/2019,42.61
05/07/2019,61.31
06/07/2019,64.96
07/07/2019,99.11
08/07/2019,36.36
09/07/2019,56.86
10/07/2019,78.05
11/07/2019,201.48
12/07/2019,164.34
13/07/2019,170.74
14/07/2019,88.34
15/07/2019,57.58
16/07/2019,115.21
17/07/2019,139.63
18/07/2019,180.52
19/07/2019,216.64
20/07/2019,128.88
21/07/2019,137.19
22/07/2019,134.66
23/07/2019,89.06
24/07/2019,246.42
25/07/2019,254.15
26/07/2019,179.63
27/07/2019,88.07
28/07/2019,87.9
29/07/2019,100.89
30/07/2019,126.7
31/07/2019,77.08
01/08/2019,99.62
02/08/2019,177.65
03/08/2019,122.62
04/08/2019,193.45
05/08/2019,176.2
06/08/2019,139.05
07/08/2019,131.73
08/08/2019,122.75
09/08/2019,148.64
10/08/2019,104.34
11/08/2019,144.21
12/08/2019,194.52
13/08/2019,138.9
14/08/2019,156.15
15/08/2019,98.33
16/08/2019,74.35
17/08/2019,110.8
18/08/2019,164.11
19/08/2019,184
20/08/2019,96.56
21/08/2019,177.72
22/08/2019,174.08
23/08/2019,167.47
24/08/2019,140.97
25/08/2019,165.27
26/08/2019,98.9
27/08/2019,108.12
28/08/2019,72.41
29/08/2019,115.54
30/08/2019,150.6
31/08/2019,58.33
01/09/2019,43.53
02/09/2019,134.85
03/09/2019,149.54
04/09/2019,151.84
05/09/2019,46.88
06/09/2019,152.76
07/09/2019,166.36
08/09/2019,153.68
09/09/2019,47.16
10/09/2019,66.71
11/09/2019,193.83
12/09/2019,228.26
13/09/2019,142.04
14/09/2019,166.64
15/09/2019,141.84
16/09/2019,180.94
17/09/2019,238.41
18/09/2019,148.11
19/09/2019,131
20/09/2019,274.76
21/09/2019,253.33
22/09/2019,289.88
23/09/2019,182.59
24/09/2019,151.27
25/09/2019,179.91
26/09/2019,209.29
27/09/2019,197.32
28/09/2019,106.63
29/09/2019,138.68
30/09/2019,214.28
01/10/2019,234.26
02/10/2019,267.45
03/10/2019,168.81
04/10/2019,128.58
05/10/2019,204.45
06/10/2019,218.03
07/10/2019,242.92
08/10/2019,232.1
09/10/2019,55.01
10/10/2019,156.24
11/10/2019,83.46
12/10/2019,28.25
13/10/2019,230.87
14/10/2019,250.45
15/10/2019,107.84
16/10/2019,72.36
17/10/2019,248.06
18/10/2019,125.5
19/10/2019,143.64
20/10/2019,154.96
21/10/2019,88.48
22/10/2019,124.39
23/10/2019,71.17
24/10/2019,131.29
25/10/2019,166.85
26/10/2019,185.61
27/10/2019,212.79
28/10/2019,149.57
29/10/2019,178.1
30/10/2019,256.84
31/10/2019,263.8
01/11/2019,280.19
02/11/2019,286.61
03/11/2019,242.4
04/11/2019,242.93
05/11/2019,191.6
06/11/2019,157.5
07/11/2019,162.51
08/11/2019,143.01
09/11/2019,139.18
10/11/2019,82.82
11/11/2019,115.69
12/11/2019,129.39
13/11/2019,145.65
14/11/2019,246.28
