datetime,ws
01/01/2018,0.33
02/01/2018,0.02
03/01/2018,0.09
04/01/2018,0.52
05/01/2018,1.5
06/01/2018,1.87
07/01/2018,0.76
08/01/2018,1.44
09/01/2018,1.29
10/01/2018,1.71
11/01/2018,1.68
12/01/2018,1.86
13/01/2018,1.97
14/01/2018,1.64
15/01/2018,1.27
16/01/2018,1.5
17/01/2018,1.4
18/01/2018,0.79
19/01/2018,1.59
20/01/2018,1.69
21/01/2018,1.79
22/01/2018,1.58
23/01/2018,1.44
24/01/2018,1.54
25/01/2018,2.06
26/01/2018,1.73
27/01/2018,1.37
28/01/2018,1.7
29/01/2018,2
30/01/2018,1.83
31/01/2018,1.56
01/02/2018,1.21
02/02/2018,1.66
03/02/2018,1.45
04/02/2018,1.64
05/02/2018,1.14
06/02/2018,1.13
07/02/2018,1.01
08/02/2018,1.35
09/02/2018,1.3
10/02/2018,1.57
11/02/2018,1.73
12/02/2018,2.04
13/02/2018,1.27
14/02/2018,0.39
15/02/2018,0.87
16/02/2018,1.21
17/02/2018,1.34
18/02/2018,1.12
19/02/2018,0.91
20/02/2018,1.06
21/02/2018,1.8
22/02/2018,2.24
23/02/2018,1.9
24/02/2018,1.27
25/02/2018,1.44
26/02/2018,0.14
27/02/2018,1.12
28/02/2018,0.8
01/03/2018,0.99
02/03/2018,1.19
03/03/2018,0.94
04/03/2018,1.19
05/03/2018,1.1
06/03/2018,0.89
07/03/2018,1.02
08/03/2018,0.81
09/03/2018,1.2
10/03/2018,1.39
11/03/2018,1.41
12/03/2018,1.34
13/03/2018,1.32
14/03/2018,1.09
15/03/2018,0.97
16/03/2018,1.08
17/03/2018,0.49
18/03/2018,1.08
19/03/2018,1.33
20/03/2018,1.13
21/03/2018,1.9
22/03/2018,0.91
23/03/2018,1.19
24/03/2018,1.68
25/03/2018,0.66
26/03/2018,1.45
27/03/2018,0.5
28/03/2018,1.03
29/03/2018,1.08
30/03/2018,1.58
31/03/2018,1.74
01/04/2018,1.11
02/04/2018,1.15
03/04/2018,1.33
04/04/2018,1.11
05/04/2018,1.25
06/04/2018,0.91
07/04/2018,1.1
08/04/2018,0.82
09/04/2018,0.89
10/04/2018,1.08
11/04/2018,1.27
12/04/2018,1.28
13/04/2018,1.04
14/04/2018,0.74
15/04/2018,0.8
16/04/2018,0.89
17/04/2018,0.82
18/04/2018,0.71
19/04/2018,0.74
20/04/2018,0.92
21/04/2018,0.9
22/04/2018,0.94
23/04/2018,0.52
24/04/2018,0.52
25/04/2018,0.56
26/04/2018,1.11
27/04/2018,1.31
28/04/2018,0.79
29/04/2018,0.83
30/04/2018,1.08
01/05/2018,1.01
02/05/2018,0.9
03/05/2018,0.77
04/05/2018,0.93
05/05/2018,1.79
06/05/2018,1.35
07/05/2018,1.25
08/05/2018,1.06
09/05/2018,1.2
10/05/2018,1.3
11/05/2018,1.07
12/05/2018,0.88
13/05/2018,1.02
14/05/2018,0.83
15/05/2018,0.99
16/05/2018,0.85
17/05/2018,0.67
18/05/2018,0.98
19/05/2018,1.05
20/05/2018,1.02
21/05/2018,1.28
22/05/2018,1.54
23/05/2018,0.99
24/05/2018,0.77
25/05/2018,0.69
26/05/2018,0.9
27/05/2018,1.05
28/05/2018,1.09
29/05/2018,0.8
30/05/2018,1.04
31/05/2018,0.2
01/06/2018,1.16
02/06/2018,1.11
03/06/2018,1.14
04/06/2018,1.06
05/06/2018,0.95
06/06/2018,0.94
07/06/2018,1.01
08/06/2018,0.84
09/06/2018,0.94
10/06/2018,1.04
11/06/2018,0.86
12/06/2018,0.93
13/06/2018,0.82
14/06/2018,1.47
15/06/2018,0.82
16/06/2018,1.31
17/06/2018,1.51
18/06/2018,1.37
19/06/2018,0.91
20/06/2018,1.65
21/06/2018,1.33
22/06/2018,1.22
23/06/2018,1.15
24/06/2018,1.29
25/06/2018,0.47
26/06/2018,0.68
27/06/2018,0.59
28/06/2018,1.12
29/06/2018,0.96
30/06/2018,0.82
01/07/2018,0.85
02/07/2018,0.95
03/07/2018,0.84
04/07/2018,0.78
05/07/2018,1.11
06/07/2018,1.32
07/07/2018,1.63
08/07/2018,1.95
09/07/2018,1.06
10/07/2018,0.98
11/07/2018,0.86
12/07/2018,0.75
13/07/2018,1.02
14/07/2018,1.21
15/07/2018,1.1
16/07/2018,0.83
17/07/2018,0.85
18/07/2018,0.97
19/07/2018,1.23
20/07/2018,1.18
21/07/2018,1.23
22/07/2018,1.27
23/07/2018,1.22
24/07/2018,1.02
25/07/2018,0.96
26/07/2018,0.85
27/07/2018,0.83
28/07/2018,0.7
29/07/2018,1.02
30/07/2018,0.94
31/07/2018,0.93
01/08/2018,1.04
02/08/2018,1.06
03/08/2018,1.27
04/08/2018,0.94
05/08/2018,1.38
06/08/2018,0.87
07/08/2018,0.77
08/08/2018,0.85
09/08/2018,0.93
10/08/2018,1.05
11/08/2018,0.65
12/08/2018,0.92
13/08/2018,1.16
14/08/2018,0.96
15/08/2018,0.99
16/08/2018,0.98
17/08/2018,0.89
18/08/2018,1.04
19/08/2018,1.09
20/08/2018,1.2
21/08/2018,1.08
22/08/2018,0.8
23/08/2018,0.95
24/08/2018,1.03
25/08/2018,0.91
26/08/2018,1.03
27/08/2018,1.11
28/08/2018,1.05
29/08/2018,1.09
30/08/2018,1.18
31/08/2018,1.06
01/09/2018,0.89
02/09/2018,1
03/09/2018,1.4
04/09/2018,1.3
05/09/2018,1.02
06/09/2018,0.98
07/09/2018,0.95
08/09/2018,0.83
09/09/2018,1.06
10/09/2018,1.15
11/09/2018,1.16
12/09/2018,1.35
13/09/2018,0.95
14/09/2018,1.17
15/09/2018,1.08
16/09/2018,1.26
17/09/2018,1.36
18/09/2018,1.23
19/09/2018,0.94
20/09/2018,0.79
21/09/2018,0.91
22/09/2018,0.82
23/09/2018,1.01
24/09/2018,0.92
25/09/2018,1.26
26/09/2018,0.95
27/09/2018,1.15
28/09/2018,1.03
29/09/2018,0.92
30/09/2018,1.13
01/10/2018,0.96
02/10/2018,1.16
03/10/2018,1.07
04/10/2018,1.27
05/10/2018,1.17
06/10/2018,1.22
07/10/2018,1.32
08/10/2018,1.21
09/10/2018,1
10/10/2018,1.4
11/10/2018,1.13
12/10/2018,1.06
13/10/2018,1.22
14/10/2018,1.28
15/10/2018,1.21
16/10/2018,1.18
17/10/2018,1.27
18/10/2018,0.95
19/10/2018,0.96
20/10/2018,1.22
21/10/2018,1.18
22/10/2018,1.22
23/10/2018,0.86
24/10/2018,0.97
25/10/2018,1.02
26/10/2018,1.04
27/10/2018,0.81
28/10/2018,1.31
29/10/2018,0.8
30/10/2018,1.07
31/10/2018,0.79
01/11/2018,0.95
02/11/2018,0.81
03/11/2018,0.87
04/11/2018,1.01
05/11/2018,0.85
06/11/2018,0.98
07/11/2018,0.97
08/11/2018,0.62
09/11/2018,0.68
10/11/2018,1.04
